Category,Size,File,Algorithm,Time(us),Comparisons,Swaps
random,1000,data_250.txt,QuickSort,95,11165,6798
random,1000,data_250.txt,MergeSort,436,8684,8684
random,1000,data_251.txt,InsertionSort,741,250182,249191
random,1000,data_251.txt,QuickSort,85,10173,5604
random,1000,data_251.txt,MergeSort,239,8730,8730
random,1000,data_252.txt,InsertionSort,758,246692,245699
random,1000,data_252.txt,QuickSort,102,11493,6513
random,1000,data_252.txt,MergeSort,252,8717,8717
random,1000,data_253.txt,InsertionSort,784,247451,246459
random,1000,data_253.txt,QuickSort,90,10808,5405
random,1000,data_253.txt,MergeSort,255,8707,8707
random,1000,data_254.txt,InsertionSort,815,250375,249384
random,1000,data_254.txt,QuickSort,96,10889,6347
random,1000,data_254.txt,MergeSort,272,8722,8722
